State,All_countries,Latinamerica,Caribean,Central_america,Southamerica,Argentina,Bolivia,Belize,Brazil,Chile,Colombia,Costa_Rica,Cuba,Dominican_Republic,Ecuador,El_Salvador,Guatemala,Haiti,Honduras,Jamaica,Mexico,Nicaragua,Panama,Peru,Trinidad_Tobago,Uruguay,Venezuela
New Jersey,1968100,903388.2857,328692.1391,263590.4131,311099.663,10570.72255,2711.067947,1224.061182,29649.48818,5743.39065,81205.95615,14677.64253,44139.73676,167370.7044,77710.53409,47783.75857,43820.254,45790.66218,32517.52972,42652.40112,114932.4136,4961.707412,3555.600701,60415.41012,15129.9846,8767.341448,8483.235968
New Mexico,201200,153126.0484,3088.973114,145740.6755,4295.967728,353.9237474,305.0076443,62.05379664,745.0876574,316.1315878,1195.925719,160.9851112,1834.947485,472.9822089,452.0031066,1980.072872,2209.063216,179.9868802,752.9891099,307.0100852,139747.5028,314.0447747,437.1968223,463.0491299,76.00494609,29.01767884,246.0358463
New York,4439900,2169867.686,1088489.526,496099.8953,585262.6034,20726.53448,4077.102183,7838.79573,24426.87375,11304.70551,102747.6182,6913.360614,25335.27493,495778.3515,176276.2115,109737.0386,62086.77673,128199.6552,53776.22226,230282.5647,225373.8109,10506.49796,18978.54398,54356.7673,94657.1599,5654.444935,13145.9153
North Carolina,799600,418040.1322,39268.65821,329762.2657,49007.63185,3687.205594,420.0105266,465.4034748,6236.733733,2179.907373,14737.08465,3322.692699,7431.787309,10652.59931,5812.039945,30619.12686,18946.54219,5229.618798,32546.5293,9191.301932,235756.8483,3850.548989,3916.763294,5960.632428,2867.186585,1089.663871,5506.802316
North Dakota,29600,4908.001552,969.9915574,2908.993523,1028.99227,15.99655355,18.00045114,42.03644288,224.026356,0,601.962611,5.999445138,52.99848323,333.9874372,52.00035739,86.00316514,222.0063531,154.9887024,63.99907441,350.0114978,2397.008625,40.00570378,52.02342051,22.00233447,43.00279845,12.00731538,66.0096173
Ohio,521000,101008.0319,16617.85536,65584.85396,18804.85873,1194.742594,330.0082709,83.07201808,3454.406401,719.2994038,3782.765046,624.9422019,2177.937669,5471.79418,1308.00899,6231.229325,8692.248745,1333.902768,3473.949758,4658.153019,44526.16022,889.1267666,1005.452646,4161.441532,1310.085255,167.1018057,1990.289976
Oklahoma,234500,136218.0431,3544.969145,125391.7208,7280.945304,361.9220242,236.0059149,192.166596,1062.124956,224.0932774,1478.908142,284.9736441,1190.965916,424.9840144,289.0019863,3604.132641,7209.206305,458.9665446,3842.944422,637.020926,109717.3948,173.0246689,369.1661955,1590.168718,175.011389,70.04267306,1822.265496
Oregon,405800,175851.0556,4435.96139,161369.6407,10044.92454,886.8089376,425.0106519,129.1119317,2288.269208,855.3560365,1506.906403,545.9495076,2676.923389,164.9937938,694.0047698,5430.199845,5822.166612,685.9499991,822.9880976,432.0141915,147435.5305,587.083703,423.1905168,2159.229096,232.0150986,140.0853461,969.1411994
Pennsylvania,865700,266303.0842,118374.9697,92393.79427,55532.58283,3831.174576,645.0161658,511.4433884,10505.23591,2472.028966,12237.23992,2274.789615,6454.815269,61513.68618,8463.058165,6849.25207,12959.37086,15796.84852,7905.885661,20644.67817,57457.20674,1989.283621,2208.994471,7760.82343,6246.406491,748.4559921,3414.497476
Rhode Island,144200,64672.02045,31937.72202,20724.95385,12008.90979,279.9396872,2073.051956,56.04859051,1437.169079,349.1453295,5735.643749,39.99630092,546.9843458,26232.01329,617.0042406,2524.092893,13136.37592,2847.792416,1003.98548,945.031044,3508.012623,139.0198206,266.1198049,778.0825552,457.0297416,34.02072691,438.0638239
South Carolina,240400,121363.0384,11133.90309,90245.79905,19982.84989,872.8119533,733.0183714,226.1960974,2990.351806,635.2644248,9053.437675,1726.840292,2533.927481,1450.945423,1248.008577,3352.123367,7713.220728,795.9419815,7646.889407,3835.125983,67263.24203,1162.165695,1155.520205,1966.208616,1099.071523,361.2200711,1419.206772
South Dakota,30100,7476.002364,899.9921666,5841.986992,733.9944861,134.9709206,39.00097747,34.02950138,133.0156489,57.02373577,114.9928576,8.999167707,135.9961079,444.9832621,81.0005567,915.0336756,1266.03623,91.99329434,189.9972522,136.0044677,3331.011986,64.00912605,32.01441262,157.0166596,34.00221273,0,10.00145717
Tennessee,334100,151903.048,11159.90287,127526.716,13215.90072,1306.718468,366.0091732,480.4164901,1778.209201,804.3347993,3106.807031,967.9104823,4107.882436,1667.937261,683.0046942,8986.33072,12504.35784,1608.882724,11430.83468,1715.056339,91172.32806,788.1123645,1019.458952,2081.220819,795.0517387,114.0694961,2342.341268
Texas,4736700,3226117.02,100738.1232,2965756.396,159612.801,11107.60687,4880.122309,5046.374881,19045.24062,4655.938005,46448.11502,4889.547787,49405.58606,10304.6124,8508.058475,206568.6023,73878.11416,4434.676743,111464.3879,14859.48813,2535892.125,17656.51736,9578.312075,20398.16426,10911.71009,1826.112548,36836.36689
Utah,256600,151093.0478,3143.972635,119488.7339,28459.78621,3971.14442,826.0207023,87.07548883,4924.579362,2657.106004,3105.807093,458.9575531,828.9762754,1004.962199,2241.015402,7295.268485,5187.14844,373.97274,2311.966563,451.0148157,103386.372,523.074577,224.1008883,6088.64601,139.0090461,718.4377036,3703.539589
Vermont,29000,3117.000986,648.9943513,1182.997366,1284.990347,57.98750663,35.00087721,17.01475069,115.013531,61.02540144,278.9826719,0,84.99756744,62.99763036,48.0003299,108.0039748,118.0033769,151.9889211,134.9980476,268.008804,758.0027275,34.00484822,13.00585513,231.0245119,51.00331909,24.01463076,92.01340593
Virginia,1038200,370821.1173,36325.68383,238906.468,95587.28193,4875.94948,26870.67345,667.5787477,6317.743264,2703.125159,12775.20651,2163.79988,7011.799328,6451.757319,4583.031498,107949.9728,30780.88085,3760.72587,34351.50319,9669.317634,53864.19382,4684.667913,4390.976781,26016.7604,4868.31681,1412.860777,6346.924718
Washington,1021000,304480.0963,8223.92842,273162.3918,23092.82652,1969.575656,481.0120554,401.3479428,5471.643723,1944.809515,3939.755295,672.937763,2071.940703,1325.950125,1763.012117,12240.45048,11885.34012,1461.893438,4393.936453,1722.056569,240394.865,2133.304154,981.4418368,4130.438243,839.0546023,695.4236825,1832.266953
West Virginia,29600,6429.002033,1446.987406,3456.992302,1524.988544,144.9687666,54.00135342,45.03904595,207.0243558,151.062879,199.9875784,30.99713321,309.9911283,196.9925902,72.00049485,643.0236649,478.0136792,127.9906704,263.996182,349.0114649,1864.006707,78.01112238,54.02432129,454.0481749,188.0122351,11.00670577,111.0161745
Wisconsin,287400,111993.0354,5180.954906,96991.78403,9819.926231,1127.757026,324.0081205,104.0902395,1641.193082,698.2906591,2263.859388,685.9365608,1332.961852,1267.952306,859.0059038,1117.04111,2396.068568,477.9651597,2162.968718,1578.051839,88562.31867,1528.217885,436.1963719,1305.138476,190.0123652,399.2432364,800.1165733
Wyoming,20300,10735.0034,224.9980417,9806.978163,702.994719,25.99439953,8.000200506,56.04859051,51.00600071,189.0787028,47.99701882,0,20.99939902,0,32.00021993,503.0185124,756.021635,85.99373166,29.99956613,19.00062417,8441.030373,15.00213892,6.002702366,243.0257852,5.000325401,0,103.0150088
